sku,rating,review_text,date,verified_purchase
BT-115,2,"Battery dies in under 3 hours. My old headphones from a different brand lasted all day. Very disappointed.",2025-12-10,True
BT-115,1,"These headphones keep disconnecting from my phone every 10 minutes. Completely unusable for calls.",2025-12-15,True
BT-115,3,"Sound quality is decent but the battery life is really bad. Expected at least 12 hours for this price.",2025-12-20,True
BT-115,2,"Arrived with a scratched headband. Packaging was damaged. Customer support took 3 weeks to respond.",2025-12-22,True
BT-115,1,"Returned after 2 days. Battery barely lasts 2.5 hours and the charging cable is proprietary and weird.",2025-11-30,True
BT-115,4,"Great sound quality for studio sessions! Only complaint is the battery could be better.",2025-11-25,True
BT-115,3,"Bluetooth keeps cutting out. Was told it was a firmware issue but no update in 3 months.",2025-12-05,False
BT-115,2,"At ₹3499 I expected ANC. SoundMax Pro has it for ₹2999. Hard to justify the price difference.",2025-12-18,True
BT-115,1,"Ear cushions are thin and uncomfortable after just 30 minutes of wear. Build quality feels cheap.",2025-12-28,True
BT-115,3,"Battery life is fine for short sessions. I wish the companion app had an EQ mode.",2025-11-15,True
BT-101,5,"Amazing value for money! Great bass, comfortable, and battery lasts 2 days easily.",2025-12-01,True
BT-101,4,"Solid headphones for the price. No issues with Bluetooth. Recommended for daily commuters.",2025-11-20,True
BT-101,5,"Bought as a gift and the recipient loves them. Lightweight and the sound is surprisingly good.",2025-12-10,False
BT-101,4,"Great bass heavy sound. Highs could be crisper but overall very happy at this price point.",2025-12-15,True
BT-101,3,"Good headphones but cable inclusion would have been nice as a backup. Otherwise fine.",2025-11-28,True
BT-102,5,"Absolutely love these! ANC is on par with Sony WH-1000XM5. Best purchase this year.",2025-12-20,True
BT-102,4,"ANC works great in the office. Slightly heavy but the comfort and sound make up for it.",2025-12-18,True
BT-106,4,"Perfect for gym. Stayed in ears during entire workout. Great 8-hour battery life.",2025-12-12,True
BT-106,5,"These are now my daily drivers. Sweat-proof, comfortable, and sound quality is excellent.",2025-11-30,True
BT-109,5,"Sound fills the whole room. Bass is incredible. Bought two — one for each floor of my house.",2025-12-02,True
BT-115,2,"No app support is a big miss in 2025. Can't customize EQ or check battery level without guessing.",2025-12-25,True
BT-115,1,"Bought these for WFH calls. Microphone quality is terrible. Echo on every call. Returning immediately.",2025-12-30,True
BT-115,3,"If you just want music they are okay. But for calls or anything else they fall short.",2025-12-08,True
BT-114,5,"Perfect for my kids! Loud enough for them, volume limited so no ear damage worries. Love it!",2025-12-22,True
BT-110,5,"Best portable speaker for hiking and outdoor use under ₹2000. Waterproof and great battery.",2025-12-17,True
BT-119,4,"Gym sessions are now way more fun. These buds stay in place even during running on treadmill.",2025-11-22,True
BT-115,2,"Charging takes 3 hours and gives only 3 hours of usage. Ratio is unacceptable.",2025-12-27,True
