name,sku,category,price,rating,inventory,sales_volume
Bassline Pro 750 Headphones,BT-101,Headphones,999,4.2,342,1280
SoundWave ANC Studio,BT-102,Headphones,3999,4.5,87,320
ClearVoice Call Pro,BT-103,Headphones,1899,3.9,215,540
BassBoost XR Gaming,BT-104,Headphones,2499,4.1,130,410
NightOwl Sleep Buds,BT-105,Earbuds,1499,4.3,276,890
AirFit Sport Earbuds,BT-106,Earbuds,1299,4.0,198,670
CrystalClear Buds Pro,BT-107,Earbuds,2199,3.7,89,180
NeckBand Runner X1,BT-108,Earbuds,799,3.5,410,950
SoundStation 2.1 Speaker,BT-109,Speakers,4999,4.6,42,120
MiniPod Pocket Speaker,BT-110,Speakers,1199,4.4,183,580
WooferMax Bass Tower,BT-111,Speakers,8999,4.3,18,45
TravelTune Compact,BT-112,Speakers,2499,4.1,95,280
HomeHub Smart Speaker,BT-113,Smart,3499,3.8,67,150
KidsZone Safe Speaker,BT-114,Speakers,899,4.5,220,760
ProStudio Monitor BT-115,BT-115,Headphones,3499,3.2,156,95
DJ Booth Mixing Phones,BT-116,Headphones,5999,4.4,28,65
Retro Vinyl Buds,BT-117,Earbuds,1799,4.2,145,320
WorkFromHome Pro,BT-118,Headphones,2999,3.6,93,200
FitnessFirst Sweat-Proof,BT-119,Earbuds,1099,4.1,288,720
SleepMask Audio Buds,BT-120,Earbuds,1699,4.0,174,390
