sku,your_price,competitor_name,competitor_price,date
BT-115,3499,SoundMax Pro,2999,2025-12-01
BT-115,3499,AudioPlus X1,3199,2025-12-01
BT-115,3499,BassKing Studio,2799,2025-12-01
BT-115,3499,SoundMax Pro,2999,2025-11-01
BT-115,3499,AudioPlus X1,3149,2025-11-01
BT-115,3499,BassKing Studio,2849,2025-11-01
BT-115,3499,SoundMax Pro,3099,2025-10-01
BT-115,3499,AudioPlus X1,3249,2025-10-01
BT-101,999,SoundMax Budget,1099,2025-12-01
BT-101,999,AudioPlus Lite,949,2025-12-01
BT-101,999,BassKing Entry,1049,2025-12-01
BT-101,999,SoundMax Budget,1149,2025-11-01
BT-102,3999,SoundMax ANC Elite,3499,2025-12-01
BT-102,3999,AudioPlus ANC Pro,3699,2025-12-01
BT-102,3999,SonyX WH-Pro,4299,2025-12-01
BT-106,1299,SoundMax Buds,1199,2025-12-01
BT-106,1299,AudioPlus Fit,1399,2025-12-01
BT-106,1299,BassKing Sport,1099,2025-12-01
BT-109,4999,SoundMax Tower,4499,2025-12-01
BT-109,4999,AudioPlus Boom,5499,2025-12-01
BT-110,1199,SoundMax Mini,999,2025-12-01
BT-110,1199,AudioPlus Pocket,1299,2025-12-01
BT-119,1099,SoundMax Sweat,1199,2025-12-01
BT-119,1099,AudioPlus Sport,999,2025-12-01
BT-115,3499,SoundMax Pro,2999,2025-09-01
BT-115,3499,AudioPlus X1,3099,2025-09-01
